shortName;sector;industry;ticker;last_price;range_52_weeks;averageVolume10days;dividendYield;est_avg_dividend_yield_3y;exDividendDate;profitMargins;trailingPE;forwardPE;trailingEps;forwardEps;beta;marketCap;mostRecentQuarter;currency
ENGIE;Utilities;Utilities—Diversified;engi.pa;12.946000099182129;8.42 - 13.14;4260402;0.065799996;0.07801637511680595;1651017600;0.08331;5.2626014;8.57351;2.46;1.51;1.144749;31339030528;1656547200;EUR
ENSURGE MICROPOWER ASA;Technology;Electronic Components;ensu.ol;3.2100000381469727;0.40 - 4.80;978670;N/A;0.0;N/A;0.0;N/A;N/A;-1.856;N/A;1.995742;682738112;1648684800;NOK
ENERGY TRANSITION PARTNERS B.V.;Financial Services;Shell Companies;entpa.as;9.850000381469727;9.60 - 10.00;1;N/A;0.0;N/A;0.0;N/A;N/A;-1.041;N/A;N/A;172375008;1621900800;EUR
ENTRA;Real Estate;REIT—Office;entra.ol;130.6999969482422;122.10 - 223.32;46137;0.038900003;0.03749043698861311;1650844800;1.9744201;4.224305;16.481714;30.94;7.93;1.040681;23797985280;1656547200;NOK
ENVIPCO;Industrials;Pollution & Treatment Controls;envi.as;2.559999942779541;1.81 - 4.25;5772;N/A;0.0;N/A;-0.06819;N/A;-25.599998;-0.063;-0.1;0.589422;117891328;1648684800;EUR
EPIC ACQUISITION CORP ORDINARY ;Financial Services;Shell Companies;epic.as;9.899999618530273;9.76 - 10.10;3;N/A;0.0;N/A;0.0;N/A;N/A;N/A;N/A;N/A;189699840;1648684800;EUR
EQUASENS;Healthcare;Health Information Services;eqs.pa;81.80000305175781;66.10 - 101.62;2580;0.013099999;0.011817440471915653;1656547200;0.20261998;31.70543;25.403727;2.58;3.22;0.938032;1228611456;1640908800;EUR
EQUINOR;Energy;Oil & Gas Integrated;eqnr.ol;404.20001220703125;182.11 - 405.80;3364091;0.0188;0.013702786985146752;1668124800;0.12569;8.175567;80.51793;49.44;5.02;0.713339;1272825774080;1656547200;NOK
ERAMET;Basic Materials;Other Industrial Metals & Mining;era.pa;103.0;59.17 - 163.15;49852;0.0248;0.008090614886731391;1654214400;0.18927999;2.2572868;3.55663;45.63;28.96;1.896877;2953576448;1656547200;EUR
ERYTECH PHARMA;Healthcare;Biotechnology;eryp.pa;1.2400000095367432;1.01 - 5.69;130319;N/A;0.0;N/A;0.0;N/A;-0.5081967;-1.733;-2.44;1.476348;38459964;1648684800;EUR
ESG CORE INVESTMENTS;Financial Services;Shell Companies;esg.as;9.640000343322754;9.34 - 9.78;1208;N/A;0.0;N/A;0.0;N/A;N/A;N/A;N/A;N/A;241000016;1656547200;EUR
ESI GROUP;Technology;Software—Application;esi.pa;69.80000305175781;58.00 - 79.80;1185;N/A;0.0;N/A;-0.13525;N/A;23.741497;-3.24;2.94;0.583254;399303488;1640908800;EUR
ESPERITE;Healthcare;Medical Care Facilities;esp.as;0.020800000056624413;0.01 - 0.04;462373;N/A;0.0;1337299200;-1.37977;N/A;N/A;-0.923;N/A;1.713812;1606750;1530316800;EUR
ESSILORLUXOTTICA;Healthcare;Medical Instruments & Supplies;el.pa;157.75;131.40 - 191.79;391520;0.016;0.010015847860538827;1653868800;0.07737;39.536343;23.439821;3.99;6.73;0.895931;70041632768;1656547200;EUR
ESSO;Energy;Oil & Gas Refining & Marketing;es.pa;59.400001525878906;10.45 - 72.60;20831;N/A;0.0;1531180800;0.0375;1.2810007;N/A;46.37;N/A;0.70719;763563264;1640908800;EUR
Estoril-Sol SGPS-Nominativas;Consumer Cyclical;Resorts & Casinos;eson.ls;6.550000190734863;4.70 - 6.70;233;N/A;0.0;1560988800;0.08207;6.9680853;N/A;0.94;N/A;0.323557;78148704;1640908800;EUR
EURASIA FONC INV;Real Estate;Real Estate Services;efi.pa;0.25999999046325684;0.26 - 0.50;0;N/A;0.0;896745600;0.02041;N/A;N/A;0.0;N/A;1.822611;17589856;1640908800;EUR
EURAZEO SE;Financial Services;Asset Management;rf.pa;62.0;55.91 - 85.41;77096;0.028299998;0.02956989247311828;1651536000;0.16351;4.5722713;10.526316;13.56;5.89;1.494796;4749448192;1656547200;EUR
EUREKING SHARES;Healthcare;Biotechnology;kings.pa;9.99899959564209;9.70 - 10.00;0;N/A;0.0;N/A;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;EUR
EURO RESSOURCES;Basic Materials;Gold;eur.pa;2.9000000953674316;2.52 - 3.20;2928;0.0853;0.08045976746899723;1654560000;0.62053;17.058825;5.686275;0.17;0.51;0.593188;181224768;1656547200;EUR
EUROAPI SA;Healthcare;Medical Devices;eapi.pa;15.595999717712402;12.25 - 17.26;268748;N/A;0.0;N/A;-0.0177;N/A;N/A;-0.18;N/A;N/A;1474594048;N/A;EUR
EUROCASTLE INVESTM;Financial Services;Asset Management;ect.as;9.600000381469727;7.95 - 10.30;1863;N/A;0.0;1565827200;-1.0148001;17.142859;6.956522;0.56;1.38;0.531693;17832384;1656547200;EUR
EUROCOMMERCIAL PROPERTIES;Real Estate;REIT—Retail;ecmpa.as;22.040000915527344;15.39 - 24.12;31247;0.066700004;0.022686024465985676;1655337600;0.5376;8.609376;9.883409;2.56;2.23;2.012298;1164644352;1648684800;EUR
EUROFINS SCIENT.;Healthcare;Diagnostics & Research;erf.pa;71.77999877929688;69.20 - 125.98;234735;0.0138;0.0078016161817143674;1656979200;0.0987;19.039787;18.839895;3.77;3.81;0.647587;13815424000;1656547200;EUR
EURONAV;Energy;Oil & Gas Midstream;eurn.br;16.75;6.48 - 17.12;392059;0.0069999998;0.04477611940298507;1661817600;-0.47686002;N/A;10.339506;-1.479;1.62;0.027909;3379881984;1656547200;EUR
EURONEXT;Financial Services;Financial Data & Stock Exchanges;enx.pa;77.13999938964844;68.00 - 102.92;88657;0.025;0.020964234026387776;1653264000;0.32943;16.842794;13.824373;4.58;5.58;0.585619;8221735424;1656547200;EUR
EUROPRIS;Consumer Defensive;Discount Stores;epr.ol;59.849998474121094;43.68 - 69.34;166358;0.0424;0.02199944361295161;1650585600;0.12636;8.699127;11.356736;6.88;5.27;0.960264;9634173952;1656547200;NOK
EUTELSAT COMMUNIC.;Technology;Communication Equipment;etl.pa;8.8149995803833;7.00 - 12.49;802496;0.1076;0.1168462903041015;1637020800;0.20041999;8.395238;8.994897;1.05;0.98;0.373226;2029812352;1656547200;EUR
TRANSITION EVERGREEN;Financial Services;Asset Management;egr.pa;2.5;2.42 - 3.50;21345;N/A;0.0;1183075200;0.0;2.8735633;N/A;0.87;N/A;N/A;92119504;N/A;EUR
EVS BROADC.EQUIPM.;Technology;Communication Equipment;evs.br;23.700000762939453;17.15 - 23.90;9311;0.0881;0.04219409146871151;1653523200;0.25370002;9.22179;11.85;2.57;2.0;0.807;317625056;1640908800;EUR
EXCLUSIVE NETWORKS;Technology;Software—Infrastructure;exn.pa;16.1200008392334;13.33 - 21.03;2740;0.0117999995;0.004135649081631007;1656979200;-0.0054400004;N/A;13.661018;-0.148;1.18;N/A;1474601216;1640908800;EUR
EXEL INDUSTRIES;Industrials;Farm & Heavy Construction Machinery;exe.pa;44.70000076293945;42.30 - 82.96;236;0.0355;0.011931394278085055;1644537600;0.03462;9.802632;N/A;4.56;N/A;1.131504;303365504;1648684800;EUR
EXMAR ord.;Energy;Oil & Gas Midstream;exm.br;9.239999771118164;3.43 - 9.40;204313;0.0089;0.01370851404808404;1653264000;0.04375;46.199997;48.631577;0.2;0.19;0.559602;528774688;1648684800;EUR
EXOR;Consumer Cyclical;Auto Manufacturers;exo.as;65.0;62.68 - 70.00;3379;N/A;0.0;N/A;0.051069997;N/A;N/A;N/A;N/A;1.522232;N/A;1640908800;EUR
EXPLOSIFS PROD.CHI;Basic Materials;Specialty Chemicals;expl.pa;61.5;52.00 - 70.00;409;N/A;0.0;1562544000;0.01541;19.40063;N/A;3.17;N/A;0.234153;129280384;1640908800;EUR
FAGRON;Healthcare;Drug Manufacturers—Specialty & Generic;fagr.br;13.460000038146973;12.95 - 18.51;119269;0.014400001;0.01139177807568882;1652659200;0.11092;14.168422;11.807017;0.95;1.14;0.423368;981085952;1656547200;EUR
FASTNED;Consumer Cyclical;Specialty Retail;fast.as;31.780000686645508;22.86 - 56.00;62639;N/A;0.0;N/A;-0.981;N/A;-32.762886;-1.48;-0.97;3.104585;539627584;1656547200;EUR
FAURECIA;Consumer Cyclical;Auto Parts;eo.pa;14.739999771118164;14.30 - 49.06;1279974;N/A;0.020494731209240506;1622678400;-0.02678;134.0;3.3807337;0.11;4.36;2.003784;2903057920;1656547200;EUR
FAYENC.SARREGUEMINES DIGOIN;Consumer Defensive;Household & Personal Products;faye.pa;25.200000762939453;18.90 - 39.40;0;N/A;0.0;1004918400;0.0;N/A;N/A;-4.26;N/A;-0.40823;4411209;1632960000;EUR
FBD HOLDINGS PLC;Financial Services;Insurance—Property & Casualty;eg7.ir;10.050000190734863;6.50 - 10.65;2422;0.0995;0.06633499044918123;1650499200;0.27912;3.850575;9.392523;2.61;1.07;0.466414;487089344;1656547200;EUR
FDJ;Consumer Cyclical;Gambling;fdj.pa;33.70000076293945;30.04 - 44.93;148132;0.037100002;0.03194856505317051;1651449600;0.12908;21.464968;18.618786;1.57;1.81;0.603512;6429993472;1656547200;EUR
FERM.CASINO MUNICIPAL CANNES;Consumer Cyclical;Resorts & Casinos;fcmc.pa;1300.0;1,080.00 - 1,380.00;1;N/A;0.010769230769230769;1589328000;0.05105;19.282112;N/A;67.42;N/A;0.779091;227736608;1572480000;EUR
FERMENTALG;Healthcare;Biotechnology;falg.pa;2.5360000133514404;2.02 - 3.50;80898;N/A;0.0;N/A;-1.21303;N/A;-19.507692;-0.19;-0.13;1.443235;105577232;1640908800;EUR
FIDUCIAL OFF.SOL.;Industrials;Business Equipment & Supplies;saci.pa;28.0;27.00 - 28.20;1;N/A;0.0;1558310400;0.00857;25.225225;N/A;1.11;N/A;0.090823;60738440;1648684800;EUR
FIDUCIAL REAL EST.;Real Estate;Real Estate Services;oria.pa;185.0;177.57 - 186.45;8;0.0135;0.0045045045045045045;1652832000;0.43303;12.627987;N/A;14.65;N/A;0.31788;446590016;1648684800;EUR
FIGEAC AERO;Industrials;Aerospace & Defense;fga.pa;5.869999885559082;4.51 - 6.93;10624;N/A;0.0;N/A;-0.14852999;N/A;20.241379;-0.852;0.29;1.763481;239674448;1648684800;EUR
FIN.IMMOB.ETANG BERRE MEDIT.;Real Estate;Real Estate Services;berr.pa;8.5;4.64 - 9.10;4291;N/A;0.0;1377475200;0.13204001;40.476192;N/A;0.21;N/A;0.570009;16243500;1609372800;EUR
FIN.IMMOB.ETANG BERRE MEDIT.PF;Real Estate;Real Estate Services;ebpf.pa;160.0;98.50 - 168.98;0;N/A;0.0;1345680000;0.13204001;761.9048;N/A;0.21;N/A;0.570009;16243520;1609372800;EUR
FINANCIERE OUEST AFRICAIN;Financial Services;Financial Conglomerates;foaf.pa;2.1600000858306885;1.80 - 18.90;0;N/A;0.0;612057600;0.0;N/A;N/A;N/A;N/A;N/A;8319996;N/A;EUR
FINANCIERE MARJOS;Industrials;Conglomerates;finm.pa;0.18199999630451202;0.15 - 0.28;60;N/A;0.0;711158400;0.0;N/A;N/A;-0.036;N/A;0.333017;3634085;1640908800;EUR
FINATIS;Consumer Defensive;Food Distribution;fnts.pa;11.5;11.00 - 34.60;26;N/A;0.0;1562544000;-0.00483;N/A;N/A;-29.416;N/A;0.213812;64895648;1656547200;EUR
FIPP;Real Estate;Real Estate Services;fipp.pa;0.14300000667572021;0.12 - 0.16;1340;N/A;0.0;1355184000;-0.24929;N/A;N/A;-0.004;N/A;-0.063386;16494050;1640908800;EUR
FL ENTERTAINMENT;Communication Services;Entertainment;fle.as;10.902000427246094;9.75 - 11.62;1789;N/A;0.0;N/A;0.0;N/A;N/A;N/A;N/A;N/A;4458733056;N/A;EUR
FLEX LNG;Energy;Oil & Gas Midstream;flng.ol;356.79998779296875;124.64 - 358.60;125504;0.0837;0.004970104803821631;1653350400;0.507;11.326983;11.909212;31.5;29.96;0.329233;18956996608;1648684800;NOK
FLEXDEAL;Financial Services;Asset Management;flexd.ls;4.900000095367432;4.45 - 5.10;100;0.0107;0.01494693848460181;1649030400;0.17819001;28.82353;N/A;0.17;N/A;0.010688;17955756;1648684800;EUR
FLORIDIENNE;Industrials;Conglomerates;flob.br;810.0;538.38 - 867.39;15;0.0031;0.0019753086419753087;1657843200;0.037;60.22305;34.541576;13.45;23.45;0.594607;795368960;1640908800;EUR
FLOW TRADERS;Financial Services;Capital Markets;flow.as;20.360000610351562;19.92 - 34.69;140501;0.069299996;0.14898493332024296;1660608000;0.15880999;10.494845;8.378601;1.94;2.43;-0.715704;890381504;1656547200;EUR
FLUTTER ENTERTAINMENT PLC;Consumer Cyclical;Gambling;fltr.ir;129.6999969482422;86.78 - 189.30;378485;N/A;0.0051116912022588805;1586390400;-0.06929;N/A;N/A;-2.754;N/A;0.905392;22805538816;1656547200;EUR
FLUXYS BELGIUM;Energy;Oil & Gas Midstream;flux.br;31.600000381469727;27.52 - 32.90;658;0.045;0.042721518471615004;1652659200;0.12470999;29.53271;28.214287;1.07;1.12;0.248344;2220326656;1640908800;EUR
FNAC DARTY;Consumer Cyclical;Specialty Retail;fnac.pa;34.2599983215332;33.60 - 57.96;59469;0.056199998;0.04378283927285587;1655769600;0.01567;8.17661;6.41573;4.19;5.34;1.559602;915961600;1656547200;EUR
FONCIERE 7 INVEST;Consumer Cyclical;Furnishings, Fixtures & Appliances;lebl.pa;1.309999942779541;0.60 - 1.67;0;N/A;0.0;1225152000;0.0;N/A;N/A;-0.018;N/A;-0.082308;2095999;1640908800;EUR
FONCIERE EURIS;Real Estate;Real Estate Services;eurs.pa;8.550000190734863;6.00 - 11.40;35;N/A;0.0;1560729600;-0.0047999998;N/A;N/A;-17.846;N/A;0.880321;80165400;1656547200;EUR
FONCIERE INEA;Real Estate;REIT—Office;inea.pa;43.5;39.12 - 48.00;248;0.0617;0.05945405363984674;1651017600;1.1381099;5.8625336;N/A;7.42;N/A;0.155629;470474240;1656547200;EUR
FONCIERE LYONNAISE;Real Estate;REIT—Office;fly.pa;82.0;67.86 - 90.60;719;0.0515;0.036382113821138214;1650412800;1.85638;8.604407;30.370369;9.53;2.7;0.403973;3510846464;1656547200;EUR
FONCIERE VOLTA;Real Estate;Real Estate Services;spel.pa;7.150000095367432;6.20 - 7.50;28;0.072;0.0;1663804800;0.32539;17.875;N/A;0.4;N/A;0.103122;75474688;1640908800;EUR
FORESTIERE EQUATORIALE;Industrials;Railroads;fore.pa;575.0;565.01 - 753.35;0;0.0087;0.0029159420289855075;1655251200;0.0;178.01857;N/A;3.23;N/A;0.102529;81266472;1640908800;EUR
FORFARMERS;Consumer Defensive;Farm Products;ffarm.as;2.8499999046325684;2.52 - 4.39;221133;0.066700004;0.05614035275577587;1650412800;0.00429;56.999996;7.5;0.05;0.38;0.567171;253836384;1656547200;EUR
FORSEE POWER;Industrials;Electrical Equipment & Parts;forse.pa;4.059999942779541;2.26 - 7.70;19895;N/A;0.0;N/A;-0.52603;N/A;N/A;-102.012;N/A;N/A;215850704;1640908800;EUR
FOUNTAIN;Consumer Defensive;Food Distribution;fou.br;1.1699999570846558;0.81 - 1.42;1160;N/A;0.0;1340582400;-0.09052;N/A;N/A;-0.371;N/A;-0.249763;5827863;1640908800;EUR
FRANCAISE ENERGIE;Energy;Oil & Gas E&P;fde.pa;67.9000015258789;20.00 - 68.90;14912;N/A;0.0;N/A;0.18136999;121.25;18.058512;0.56;3.76;0.704351;351233792;1640908800;EUR
FREY;Real Estate;REIT—Retail;frey.pa;35.0;28.39 - 35.20;74;0.045700002;0.04345108571428572;1653350400;0.95949;8.536586;22.435898;4.1;1.56;0.005676;990262016;1656547200;EUR
FRONTLINE;Energy;Oil & Gas Midstream;fro.ol;118.19999694824219;55.38 - 118.70;1005798;N/A;0.00479413435953641;1599696000;-0.011510001;N/A;9.704433;-0.553;12.18;0.243594;26314039296;1648684800;NOK
FRØY ASA;Consumer Defensive;Farm Products;froy.ol;47.0;42.43 - 56.15;78654;0.0315;0.010638297872340425;1654128000;0.18778999;10.0;N/A;4.7;N/A;N/A;4119742464;1648684800;NOK
FUGRO;Energy;Oil & Gas Equipment & Services;fur.as;12.569999694824219;6.29 - 14.30;325028;N/A;0.0;1399507200;0.05139;14.284091;12.323529;0.88;1.02;N/A;1275942912;1656547200;EUR
FUT.CLUBE PORTO;Communication Services;Entertainment;fcp.ls;0.824999988079071;0.73 - 1.69;415;N/A;0.0;N/A;-0.07615;N/A;N/A;-0.51;N/A;1.045411;18562418;1640908800;EUR
GALAPAGOS;Healthcare;Biotechnology;glpg.as;51.52000045776367;41.30 - 66.28;117182;N/A;0.0;N/A;-0.15956001;N/A;-30.128654;-1.921;-1.71;0.235572;3386332416;1656547200;EUR
GALIMMO;Real Estate;Real Estate—Diversified;galim.pa;13.300000190734863;12.43 - 16.13;1;0.052600004;0.05714285632337331;1652745600;0.098409995;19.850746;N/A;0.67;N/A;0.074266;431042368;1640908800;EUR
GALP ENERGIA-NOM;Energy;Oil & Gas Integrated;galp.ls;11.125;7.76 - 13.06;2296512;0.0787;0.04644194756554307;1651795200;0.02201;17.65873;8.364661;0.63;1.33;0.896877;9225417728;1656547200;EUR
GAMING INNOVATION GROUP;Consumer Cyclical;Gambling;gig.ol;20.639999389648438;14.32 - 22.00;130935;N/A;0.0;N/A;0.00694;N/A;12.2130165;-0.12;1.69;1.101702;2534323712;1656547200;NOK
GAUMONT;Communication Services;Entertainment;gam.pa;112.0;90.00 - 115.00;126;N/A;0.0;1557878400;0.00391;320.0;N/A;0.35;N/A;0.412488;348887840;1640908800;EUR
GBL;Financial Services;Asset Management;gblb.br;78.08000183105469;77.06 - 101.81;121999;0.0345;0.03586065489673642;1651536000;-0.04966;N/A;23.732523;-0.48;3.29;0.881267;11200967680;1656547200;EUR
GC RIEBER SHIPPING;Industrials;Marine Shipping;rish.ol;12.5;5.49 - 16.50;6719;0.0395;0.04613333333333333;1650585600;0.0;9.615385;N/A;1.3;N/A;1.111163;1076091136;1648684800;NOK
GEA GRENOBL.ELECT.;Industrials;Business Equipment & Supplies;gea.pa;85.0;82.00 - 108.18;7;0.0082;0.016470588235294115;1649203200;0.06321;42.28856;N/A;2.01;N/A;0.432828;93371648;1648684800;EUR
GECINA;Real Estate;REIT—Office;gfc.pa;91.30000305175781;84.90 - 127.93;97007;0.0575;0.058050381411218994;1656892800;1.40202;6.5589085;15.905925;13.92;5.74;1.139072;6733265920;1656547200;EUR
GENERAL ELECTRIC;Industrials;Specialty Industrial Machinery;gne.pa;76.4000015258789;58.20 - 102.56;359;0.0041;0.0041884815917393224;1646611200;-0.06418;N/A;N/A;-4.315;N/A;1.019056;84090421248;1648684800;EUR
GENERIX GROUP;Technology;Software—Application;genx.pa;9.699999809265137;5.20 - 10.00;5577;N/A;0.0;929404800;0.04038;74.61539;51.05263;0.13;0.19;0.446546;220060992;1617148800;EUR
GENEURO;Healthcare;Biotechnology;gnro.pa;2.180000066757202;2.07 - 4.24;848;N/A;0.0;N/A;0.0;N/A;-6.8125005;-0.32;-0.32;0.651371;48373548;1640908800;EUR
GENFIT;Healthcare;Biotechnology;gnft.pa;4.4679999351501465;2.75 - 4.95;229630;N/A;0.0;N/A;0.78797996;3.6622949;N/A;1.22;N/A;1.321192;222575648;1640908800;EUR
GENOMIC VISION;Healthcare;Diagnostics & Research;gv.pa;0.10369999706745148;0.06 - 0.57;5062533;N/A;0.0;N/A;0.0;N/A;-0.10067961;-0.1;-1.03;0.014664;7042951;1640908800;EUR
GENSIGHT BIOLOGICS;Healthcare;Biotechnology;sight.pa;3.5160000324249268;1.80 - 8.69;327613;N/A;0.0;N/A;0.0;N/A;-4.0413795;-0.633;-0.87;2.777199;162306304;1656547200;EUR
GENTIAN DIAGNOSTICS ASA;Healthcare;Medical Devices;gent.ol;44.0;36.50 - 86.00;2640;N/A;0.0;N/A;-0.26792;N/A;118.918915;-1.72;0.37;0.405392;678585600;1648684800;NOK
GeoJunxion N.V.;Technology;Software—Application;gojxn.as;1.8949999809265137;1.09 - 2.62;3256;N/A;0.0;1494806400;-1.1915799;N/A;N/A;-0.258;N/A;0.684484;8040409;1648684800;EUR
GETLINK SE;Industrials;Railroads;get.pa;19.600000381469727;12.61 - 20.13;627793;0.0050999997;0.009523809338450089;1653868800;-0.05317;N/A;28.405798;-0.425;0.69;0.976348;10590115840;1656547200;EUR
GIMV;Financial Services;Asset Management;gimb.br;51.79999923706055;46.61 - 55.18;6534;0.05;0.048906049626364634;1656892800;0.54166;7.860394;N/A;6.59;N/A;0.449858;1409902720;1648684800;EUR
GJENSIDIGE FORSIKRING;Financial Services;Insurance—Diversified;gjf.ol;208.0;180.20 - 225.30;183294;0.0372;0.050480769230769225;1648166400;0.18370001;17.021276;18.621307;12.22;11.17;0.340113;103972962304;1656547200;NOK
GL EVENTS;Industrials;Specialty Business Services;glo.pa;16.920000076293945;12.44 - 20.00;12338;N/A;0.0;1561939200;0.05846;8.134616;9.668571;2.08;1.75;1.473509;488356896;1656547200;EUR
GLANBIA PLC;Consumer Defensive;Packaged Foods;gl9.ir;12.960000038146973;9.70 - 15.00;363762;0.0238;0.018477366200757028;1661385600;0.05424;18.514286;12.342857;0.7;1.05;0.549668;3554720768;1656720000;EUR
GLENVEAGH PROPERTIES PLC;Consumer Cyclical;Residential Construction;gvr.ir;1.055999994277954;0.88 - 1.30;905674;N/A;0.0;N/A;0.07907;26.4;9.6;0.04;0.11;1.35411;915018688;1640908800;EUR
GLINTT;Technology;Information Technology Services;glint.ls;0.23199999332427979;0.20 - 0.33;835;N/A;0.0;N/A;0.01781;11.6;N/A;0.02;N/A;0.544938;20175392;1648684800;EUR
GOLDEN OCEAN GROUP;Industrials;Marine Shipping;gogl.ol;101.94999694824219;65.92 - 155.98;1067702;0.1891;0.010789603069418887;1653955200;0.48114;3.236508;N/A;31.5;N/A;1.252948;20480327680;1648684800;NOK
GOODTECH;Industrials;Engineering & Construction;god.ol;8.069999694824219;6.97 - 11.50;38486;N/A;0.0;1398643200;-0.023759998;N/A;21.236841;-0.447;0.38;0.964522;217162080;1648684800;NOK
GP BULLHOUND ACQUISITION SHARES;Financial Services;Shell Companies;bhnd.as;10.039999961853027;9.80 - 10.30;1;N/A;0.0;N/A;0.0;N/A;N/A;-2.036;N/A;N/A;196884400;N/A;EUR
GPE GROUP PIZZORNO;Industrials;Waste Management;gpe.pa;40.0;22.53 - 50.94;233;0.0252;0.010416666666666666;1656633600;0.04538;16.32653;18.691587;2.45;2.14;0.685903;164246400;1640908800;EUR
GRAINES VOLTZ;Basic Materials;Agricultural Inputs;grvo.pa;111.0;101.00 - 177.66;830;0.0176;0.02702702702702703;1648512000;0.06769;17.425432;N/A;6.37;N/A;0.406338;164308864;1648684800;EUR
GREENVOLT  ENERGIAS RENOVAVEIS ;Utilities;Utilities—Renewable;gvolt.ls;10.460000038146973;5.15 - 10.92;439784;N/A;0.0;N/A;0.046719998;149.42857;20.92;0.07;0.5;N/A;1455707648;1648684800;EUR
GREENYARD;Consumer Defensive;Food Distribution;green.br;8.550000190734863;6.67 - 10.20;11045;N/A;0.0;1538438400;0.00364;26.718752;9.94186;0.32;0.86;1.182592;423845728;1648684800;EUR
GRIEG SEAFOOD;Consumer Defensive;Farm Products;gsf.ol;120.5;75.71 - 156.20;252774;0.0221;0.013831258644536652;1654819200;0.32639;11.147085;10.865644;10.81;11.09;0.439924;13533837312;1648684800;NOK
GROUPE CRIT;Industrials;Staffing & Employment Services;cen.pa;62.0;52.97 - 74.99;712;0.0162;0.013440860215053764;1656979200;0.02168;15.617128;11.252268;3.97;5.51;0.804162;688107008;1640908800;EUR
GROUPE FLO;Consumer Cyclical;Restaurants;flo.pa;14.0;12.00 - 18.00;366;N/A;0.0;1404777600;-0.4638;6.140351;N/A;2.28;N/A;0.75402;107121984;1656547200;EUR
GROUPE GORGE;Industrials;Aerospace & Defense;goe.pa;20.0;11.81 - 21.35;17208;N/A;0.010666666666666666;1624406400;0.24340001;43.47826;20.408163;0.46;0.98;1.235099;342086016;1640908800;EUR
GROUPE IRD;Financial Services;Asset Management;ird.pa;23.809999465942383;22.44 - 24.93;1;0.0437;0.029119418264795485;1656892800;0.49400002;4.433892;N/A;5.37;N/A;0.277672;68928280;1625011200;EUR
GROUPE JAJ;Consumer Cyclical;Apparel Manufacturing;gjaj.pa;1.5199999809265137;1.46 - 1.96;868;N/A;0.0;1132012800;0.11297;5.428571;N/A;0.28;N/A;1.468779;5412628;1632960000;EUR
GROUPE PARTOUCHE;Consumer Cyclical;Resorts & Casinos;parp.pa;19.200000762939453;16.75 - 24.20;695;N/A;0.0;1505088000;0.13602;3.2;N/A;6.0;N/A;1.318353;184504128;1651276800;EUR
GROUPE SFPI;Industrials;Specialty Industrial Machinery;sfpi.pa;2.549999952316284;2.38 - 3.83;6899;0.0312;0.026143791338548935;1655856000;0.05653;7.5;7.5;0.34;0.34;1.788079;235255088;1640908800;EUR
GT BIOPHARMA INC;Healthcare;Biotechnology;gtbp.pa;9.350000381469727;9.35 - 9.35;0;N/A;0.0;N/A;0.0;N/A;N/A;-0.999;N/A;0.435542;17100876;1656547200;EUR
GAZTRANSPORT & TECHNIGAZ;Energy;Oil & Gas Equipment & Services;gtt.pa;136.0;59.90 - 138.50;55453;0.026400002;0.026078431372549022;1654473600;0.41271;41.463413;N/A;3.28;N/A;0.540208;5016645632;1656547200;EUR
GUERBET;Healthcare;Medical Devices;gbt.pa;20.100000381469727;19.20 - 42.32;8011;0.0424;0.06301824092672216;1656633600;0.04435;7.790698;6.1094227;2.58;3.29;0.766319;253846928;1640908800;EUR
GUILLEMOT;Technology;Computer Hardware;gui.pa;13.699999809265137;10.60 - 16.44;9750;0.018;0.012165450291024976;1655251200;0.07755;15.393258;N/A;0.89;N/A;0.915326;207267296;1640908800;EUR
GYLDENDAL;Communication Services;Publishing;gyl.ol;565.0;515.71 - 628.67;18;0.0177;0.01592920353982301;1654646400;0.017;30.425417;N/A;18.57;N/A;0.458372;1303528448;1640908800;NOK
HAFNIA LIMITED;Industrials;Marine Shipping;hafni.ol;45.04999923706055;15.39 - 46.50;1620463;0.018099999;0.0022071772478862582;1653609600;-0.020610001;N/A;6.5384617;-0.484;6.89;0.405628;22523062272;1648684800;NOK
HAL TRUST;Financial Services;Asset Management;hal.as;125.19999694824219;120.98 - 156.41;4908;0.0228;0.028705679613440754;1653004800;0.55581003;2.7438087;27.336245;45.63;4.58;0.657521;11089252352;1640908800;EUR
HAMMERSON PLC;Real Estate;REIT—Retail;hmso.ir;0.23000000417232513;0.05 - 0.31;2174;0.016;0.8695652016169185;1665014400;-0.01119;N/A;N/A;-9.8;N/A;2.175969;1059472000;1656547200;GBP
HAULOTTE GROUP;Industrials;Farm & Heavy Construction Machinery;pig.pa;3.440000057220459;3.23 - 5.91;9411;0.0638;0.042635658205533354;1657756800;-0.02564;12.740741;6.3703704;0.27;0.54;0.959318;101511648;1625011200;EUR
HAVILA SHIPPING;Industrials;Marine Shipping;havi.ol;16.200000762939453;2.63 - 29.50;208459;N/A;0.0;1210809600;0.27357998;3.6241615;-8.1;4.47;-2.0;1.145222;385176064;1648684800;NOK
HAVYARD GROUP;Industrials;Aerospace & Defense;hyard.ol;3.7950000762939453;2.89 - 10.55;37760;N/A;0.0;1425254400;0.38146;1.03125;N/A;3.68;N/A;1.21665;93835168;1640908800;NOK
HYDROGENE DE FRANCE;Utilities;Utilities—Renewable;hdf.pa;26.5;24.80 - 35.20;1352;N/A;0.0;N/A;0.0;N/A;N/A;-0.26;N/A;N/A;363224896;1640908800;EUR
